TransactionID,CustomerID,ProductID,TransactionDate,Quantity,TotalValue,Price
T00001,C0199,P067,2024-08-25 12:38:23,1,300.68,300.68
T00112,C0146,P067,2024-05-27 22:23:54,1,300.68,300.68
T00166,C0127,P067,2024-04-25 07:38:55,1,300.68,300.68
T00272,C0087,P067,2024-03-26 22:55:37,2,601.36,300.68
T00363,C0070,P067,2024-03-21 15:10:10,3,902.04,300.68
T00442,C0188,P067,2024-12-26 14:40:03,1,300.68,300.68
T00490,C0195,P067,2024-11-24 11:49:48,3,902.04,300.68
T00536,C0008,P067,2024-09-22 06:13:59,1,300.68,300.68
T00564,C0157,P067,2024-12-07 17:57:40,3,902.04,300.68
T00631,C0130,P067,2024-05-14 23:14:59,2,601.36,300.68
T00727,C0051,P067,2024-01-20 04:52:14,3,902.04,300.68
T00729,C0075,P067,2024-10-07 06:38:36,2,601.36,300.68
T00797,C0155,P067,2024-10-04 20:42:53,2,601.36,300.68
T00002,C0092,P034,2024-12-16 03:31:07,2,434.1,217.05
T00063,C0088,P034,2024-06-19 07:16:55,2,434.1,217.05
T00093,C0109,P034,2024-08-11 04:10:13,4,868.2,217.05
T00127,C0041,P034,2024-06-03 21:07:56,4,868.2,217.05
T00270,C0101,P034,2024-11-07 02:48:08,3,651.15,217.05
T00358,C0154,P034,2024-04-08 20:47:01,1,217.05,217.05
T00518,C0200,P034,2024-12-11 03:05:50,4,868.2,217.05
T00546,C0049,P034,2024-08-30 06:42:27,1,217.05,217.05
T00982,C0103,P034,2024-07-17 03:25:18,1,217.05,217.05
T00003,C0028,P057,2024-01-25 14:28:34,4,958.8,239.7
T00013,C0183,P057,2024-03-04 22:09:57,4,958.8,239.7
T00017,C0087,P057,2024-05-09 03:52:43,4,958.8,239.7
T00046,C0190,P057,2024-07-28 06:29:59,4,958.8,239.7
T00091,C0200,P057,2024-04-27 19:06:20,1,239.7,239.7
T00161,C0055,P057,2024-07-15 07:02:39,2,479.4,239.7
T00184,C0188,P057,2024-05-13 07:24:49,2,479.4,239.7
T00218,C0148,P057,2024-01-17 19:40:55,3,719.1,239.7
T00417,C0035,P057,2024-04-20 22:54:54,3,719.1,239.7
T00492,C0120,P057,2024-08-08 05:40:02,3,719.1,239.7
T00605,C0017,P057,2023-12-31 03:27:43,4,958.8,239.7
T00615,C0145,P057,2024-07-14 07:45:15,2,479.4,239.7
T00619,C0028,P057,2024-12-25 09:53:39,2,479.4,239.7
T00703,C0092,P057,2024-02-04 00:31:54,3,719.1,239.7
T00962,C0188,P057,2024-11-29 19:49:24,2,479.4,239.7
T00004,C0004,P049,2024-07-19 10:56:13,4,591.8,147.95
T00105,C0087,P049,2024-02-12 08:14:34,3,443.85,147.95
T00136,C0010,P049,2024-02-22 18:44:05,2,295.9,147.95
T00237,C0065,P049,2024-02-27 22:16:22,2,295.9,147.95
T00239,C0132,P049,2024-12-06 19:03:54,2,295.9,147.95
T00310,C0068,P049,2024-05-18 05:03:08,2,295.9,147.95
T00470,C0123,P049,2024-11-13 17:36:31,1,147.95,147.95
T00551,C0018,P049,2024-02-23 13:28:08,3,443.85,147.95
T00563,C0064,P049,2024-01-16 18:52:43,1,147.95,147.95
T00567,C0121,P049,2024-09-27 23:40:32,2,295.9,147.95
T00620,C0041,P049,2024-01-05 18:43:06,4,591.8,147.95
T00650,C0070,P049,2024-10-07 14:56:13,4,591.8,147.95
T00818,C0161,P049,2024-01-01 03:54:19,1,147.95,147.95
T00923,C0173,P049,2024-07-19 10:31:02,1,147.95,147.95
T00970,C0132,P049,2024-11-17 06:14:00,4,591.8,147.95
T00005,C0150,P087,2024-05-25 17:44:48,2,580.34,290.17
T00037,C0176,P087,2024-03-09 04:58:40,4,1160.68,290.17
T00206,C0167,P087,2024-05-05 05:32:27,2,580.34,290.17
T00208,C0184,P087,2024-08-14 02:02:56,1,290.17,290.17
T00485,C0184,P087,2024-05-13 14:33:44,1,290.17,290.17
T00488,C0034,P087,2024-10-21 12:47:53,2,580.34,290.17
T00497,C0053,P087,2024-06-21 02:02:45,4,1160.68,290.17
T00684,C0102,P087,2024-07-17 07:26:30,1,290.17,290.17
T00846,C0134,P087,2024-11-10 10:56:19,4,1160.68,290.17
T00875,C0086,P087,2024-09-26 23:20:59,2,580.34,290.17
